Date,3 Year,5 Year,7 Year,10 Year,15 Year,20 Year
44551,-6.86095E-05,0.000316127,0.000852111,0.001837645,0.003338674,0.004998015
44552,-5.16663E-05,0.000375842,0.000927952,0.001927519,0.003427518,0.005084347
44553,-4.62235E-05,0.00040927,0.000971057,0.001977523,0.003473604,0.005128333
44554,-4.19802E-05,0.000418111,0.000985642,0.002002759,0.003514434,0.005177774
44557,-3.38748E-05,0.000418493,0.000979617,0.001986979,0.003484644,0.005136047
44558,-2.80728E-05,0.000410743,0.000971678,0.001986267,0.003503211,0.005178026
44559,-2.22363E-05,0.000440209,0.001004673,0.002014741,0.003510047,0.005163225
44560,3.6135E-06,0.000546842,0.001136262,0.002160116,0.00363189,0.005257572
44565,3.54073E-05,0.000598663,0.001196966,0.002231719,0.00370728,0.005337972
44566,3.62165E-05,0.000549968,0.0011358,0.002169384,0.003669887,0.005329637
44567,7.02726E-05,0.000650826,0.001264497,0.002326388,0.00383535,0.005504894
44568,0.000112228,0.000763374,0.001403736,0.002489742,0.003996576,0.005654513
44572,0.00017909,0.000915789,0.001579814,0.002676376,0.004145423,0.005767264
44573,0.000136642,0.000746803,0.001363381,0.002419485,0.003892855,0.005526228
44574,0.000131731,0.000772354,0.001399106,0.002461287,0.003929287,0.00555218
44575,0.000210762,0.000954395,0.001618775,0.002714145,0.004172863,0.005787646
44578,0.000215628,0.000931694,0.001582271,0.002661817,0.004107196,0.005710683
44579,0.000214447,0.000925785,0.00157827,0.002664617,0.004124742,0.005743575
44580,0.000132596,0.000785843,0.00142751,0.00251646,0.004024501,0.005690719
44581,0.000158239,0.000820158,0.001467508,0.002565985,0.004082483,0.005753328
44582,0.000136336,0.000734708,0.001362336,0.00244968,0.003984526,0.005676931
44585,0.000167571,0.00080224,0.001434308,0.002513706,0.004010308,0.005665706
44586,0.000186246,0.000813348,0.001441552,0.002517413,0.004009366,0.005666612
44587,0.000206176,0.000835664,0.001460642,0.00252907,0.004003868,0.005643282
44588,0.000312624,0.000974171,0.001614846,0.002707195,0.004191696,0.005845287
44589,0.000334488,0.00107016,0.001734344,0.002840577,0.004305607,0.005942937
44592,0.000320884,0.001134583,0.001835175,0.00298024,0.00447253,0.006135814
44593,0.000357974,0.001210786,0.001927197,0.00308873,0.004583259,0.006249715
44594,0.000327707,0.001122808,0.001828971,0.002997128,0.004539536,0.006253887
44595,0.000327654,0.001147692,0.001858556,0.003023725,0.004547066,0.00624206
44596,0.000417844,0.001323949,0.002067379,0.003264222,0.00478323,0.006477032
44599,0.000423149,0.001352402,0.002116136,0.003346515,0.004911282,0.006655366
44600,0.000456799,0.001381909,0.002165589,0.003445233,0.005094915,0.006929613
44601,0.00048037,0.001450278,0.002229187,0.003474899,0.005036202,0.006774317
44602,0.000566918,0.001589253,0.002398306,0.003688453,0.005287211,0.007070251
