Date,3 Year,5 Year,7 Year,10 Year,15 Year,20 Year
1466121600,0.000171977,0.000129895,0.000119332,0.000469116,0.001777437,0.002759451
1466380800,0.000203606,0.000112802,5.4751E-05,0.000418189,0.00189264,0.002959477
1466467200,0.000237943,0.000147867,0.000102804,0.00045454,0.001956198,0.003038483
1466553600,0.000237209,0.000136297,8.52566E-05,0.000430913,0.001948434,0.002988182
1466640000,0.00024542,0.000155813,0.000130021,0.000440747,0.001823634,0.00277905
1466726400,-0.000135793,-0.000112297,-0.000114807,6.52388E-05,0.001147589,0.002096428
1466985600,-9.3097E-05,-5.90513E-05,-3.84822E-05,5.42895E-05,0.000973151,0.00177121
1467072000,-0.000211111,-0.000167092,-0.000152153,-6.3293E-05,0.000679648,0.001409743
1467158400,-0.000319486,-0.000212197,-0.000132543,-0.000118557,0.000655517,0.00150702
1467244800,-0.000231958,-0.000114768,-6.57285E-06,5.02547E-05,0.000943474,0.002049014
1467331200,-0.000528025,-0.000291783,-0.000103795,-0.000152266,0.000685481,0.001787484
1467590400,-0.000376172,-0.000193334,-4.13493E-05,-9.36797E-05,0.000731877,0.001807582
1467676800,-0.000307946,-0.0001379,-1.77879E-06,-9.5054E-05,0.000667259,0.001685047
1467763200,-0.000442365,-0.000232629,-7.62586E-05,-0.000190511,0.000599789,0.001584411
1467849600,-0.000485344,-0.000266443,-0.000112882,-0.000252852,0.000651297,0.001756776
1467936000,-0.000559508,-0.000370237,-0.000274418,-0.00020499,0.000732573,0.00174436
1468195200,-0.000537451,-0.000335847,-0.000204482,-0.000110195,0.000871811,0.001869983
1468281600,-0.00053025,-0.000367862,-0.000292155,-0.000154422,0.000871957,0.001940452
1468368000,-0.000584157,-0.000361624,-0.000235553,-0.000184819,0.00088535,0.001977018
1468454400,-0.000478076,-0.000260259,-0.000130648,-5.68659E-05,0.001097802,0.002188383
1468540800,-0.000272377,-9.56211E-05,7.52759E-06,0.00019568,0.001457364,0.002459305
1468886400,-0.000244559,-0.00010225,-2.80024E-05,0.000145116,0.001488164,0.002718204
1468972800,-0.000258615,-0.000161688,-0.000137875,0.000102678,0.001471966,0.002791683
1469059200,-0.00025086,-0.00014318,-0.000102286,0.000169643,0.001624661,0.00301462
1469145600,-0.00034226,-0.000177316,-9.29399E-05,0.000151427,0.00160459,0.003089911
1469404800,-0.000322477,-0.000218672,-0.000182643,0.00013356,0.001672647,0.003094823
1469491200,-0.000291101,-0.000255146,-0.000296884,1.08531E-05,0.001554771,0.003015235
1469577600,-0.0005052,-0.000424283,-0.000474487,-0.000240732,0.001306207,0.002890745
1469664000,-0.00026943,-0.000195595,-0.000213902,1.88604E-06,0.001393472,0.002819197
1469750400,0.000226993,0.00022259,0.000264949,0.000654021,0.001920038,0.003178727
1470009600,0.000258014,0.000226043,0.000274138,0.000846943,0.002285716,0.003533255
1470096000,0.000663221,0.000571913,0.000664429,0.001443415,0.002872926,0.003957413
1470182400,0.000190577,0.000149458,0.000216195,0.000995368,0.002647543,0.003971825
1470268800,0.000113213,0.000145202,0.000264434,0.000947617,0.002754902,0.004364374
