Date,3 Year,5 Year,7 Year,10 Year,15 Year,20 Year
1456704000,-8.73727E-05,-4.16674E-05,0.000208485,0.001229028,,
1456790400,3.31863E-05,4.13124E-05,0.000258155,0.001149991,,
1456876800,0.00016655,0.000242161,0.000397726,0.00115026,,
1456963200,0.000371973,0.000518895,0.000715301,0.001371133,,
1457049600,0.000343067,0.000442236,0.000563828,0.001168329,,
1457308800,0.000228833,0.0003259,0.000447729,0.001000501,,
1457395200,0.000115985,0.000108982,0.000173629,0.000586754,,
1457481600,0.000701609,0.000602917,0.000814509,0.001391693,,
1457568000,0.000750396,0.00060531,0.000751879,0.001343756,,
1457654400,0.000818063,0.000641282,0.000820337,0.001426652,,
1457913600,0.000680072,0.000419835,0.000569301,0.001100992,,
1458000000,0.000871174,0.000641276,0.00084126,0.00135834,,
1458086400,0.00062444,0.000449074,0.000595274,0.001034939,,
1458172800,0.000433296,0.000407659,0.000612303,0.001006608,,
1458259200,0.000199631,0.000254431,0.00038477,0.000588159,,
1458604800,0.000214135,0.000298569,0.000426359,0.000608568,,
1458691200,0.000127403,0.00021159,0.000345332,0.000517026,,
1458777600,0.000161459,0.000270532,0.000425681,0.000693557,,
1458864000,4.59121E-05,0.000200746,0.000361574,0.000655902,,
1459123200,-2.9873E-06,0.000216864,0.000386104,0.000664811,,
1459209600,3.2145E-05,0.000268293,0.000441708,0.00072532,,
1459296000,5.1578E-05,0.000270322,0.000415512,0.000689136,,
1459382400,0.000320279,0.00059845,0.000833709,0.001114862,,
1459468800,0.000224058,0.000426381,0.000630058,0.000900509,,
1459728000,0.000176327,0.000344349,0.000498691,0.00072071,,
1459814400,0.000227177,0.000460842,0.000646409,0.000856851,,
1459900800,0.000153729,0.00045123,0.000669654,0.000900547,,
1459987200,0.000138664,0.000450119,0.00071007,0.000945426,,
1460073600,7.15581E-05,0.0003086,0.000500756,0.000686584,,
1460332800,7.81258E-05,0.000319343,0.000500678,0.000657683,,
1460419200,2.56126E-05,0.000282969,0.000447953,0.000607037,,
1460505600,0.00013125,0.00038446,0.000549234,0.000733188,,
1460592000,0.000113327,0.000379462,0.000530864,0.000696729,,
1460678400,5.01445E-05,0.00029257,0.000379753,0.000536182,,
1460937600,5.76309E-05,0.000292016,0.000384262,0.000489988,,
1461024000,-5.89908E-06,0.000195893,0.000289358,0.000456657,,
1461110400,-2.44844E-05,0.000174094,0.000256776,0.000422614,,
1461196800,1.38444E-05,0.000228971,0.00034432,0.000526288,,
1461283200,-8.60663E-05,9.15269E-05,0.000228553,0.000552575,,
1461542400,9.5118E-05,0.000307842,0.000534824,0.000889584,,
1461628800,2.98149E-05,0.000226922,0.000336455,0.000577819,,
1461715200,0.000232911,0.000423103,0.000615632,0.000845927,,
1461801600,0.000269997,0.000462181,0.000606497,0.000723774,,
1462147200,0.000213788,0.000350618,0.000460018,0.000541483,,
1462492800,0.000182936,0.000266045,0.000390679,0.000544738,,
1462752000,0.000186197,0.000271083,0.000436417,0.000647503,,
1462838400,0.000180449,0.000284867,0.000471088,0.00074637,,
1462924800,0.000236695,0.00027983,0.000421017,0.000681959,,
1463011200,0.000220628,0.000267837,0.000381039,0.000557544,,
1463097600,0.000221621,0.000261711,0.000395096,0.000514316,,
1463356800,0.000220238,0.000287192,0.000398208,0.000597293,,
1463443200,0.000242748,0.000307302,0.000403625,0.000629827,,
1463529600,0.000287312,0.000356689,0.000479366,0.000719138,,
1463616000,0.000406113,0.00049957,0.000646429,0.000914509,,
